Size,Original,Experimento 1,Experimento2
256x128,62736,131217,97118
256x128,61796,122923,99091
256x128,62002,129636,96790
256x128,61550,131202,97071
256x128,62452,130251,99105
256x128,111078,131698,95912
256x128,69058,135706,97005
256x128,78245,134895,96765
256x128,63977,136588,96213
256x128,61889,134881,96749
256x128,62125,135511,98952
256x128,61979,133840,99036
256x128,62026,135557,96333
256x128,62619,370886,96389
256x128,63813,134915,98115
256x128,62567,129498,96444
256x128,64395,131403,95998
256x128,63787,130108,96497
256x128,61339,133743,98147
256x128,63906,133326,96273
256x128,63328,134824,97657
256x128,65272,135629,96923
256x128,64406,130580,96120
256x128,63648,131536,95946
256x128,64745,131887,96135
256x128,66464,132390,95640
256x128,65506,129848,96198
256x128,64739,131994,98625
256x128,63553,130165,97485
256x128,64298,131439,96642
256x128,63553,131399,97766
256x128,111152,133602,96392
256x128,61956,135545,96422
256x128,61961,134673,96602
256x128,61936,134411,96483
256x128,63918,284229,96896
256x128,62048,129761,98324
400x200,217361,1270995,352674
400x200,151468,548183,243553
400x200,155509,347461,229716
400x200,149626,309007,241819
400x200,154948,304357,236822
400x200,145201,303447,235268
400x200,144370,320921,224857
400x200,144021,305487,223429
400x200,142629,316739,222807
400x200,150917,318658,228446
400x200,148739,301200,222003
400x200,142205,318556,224423
400x200,144263,320191,239527
400x200,147880,320697,222298
400x200,149316,307242,243646
400x200,141183,301368,235616
400x200,146393,317607,222609
400x200,140666,448358,227505
400x200,151226,519343,237502
400x200,142183,299518,226230
400x200,142216,300978,240818
400x200,153855,301753,239011
400x200,150429,303300,235267
400x200,143630,303954,234046
400x200,149498,299897,224578
400x200,155110,299476,222094
400x200,156013,301374,220831
400x200,158721,321390,225844
400x200,156463,304631,225475
400x200,153254,329758,226778
400x200,156750,376030,227288
400x200,315656,315906,383936
400x200,189758,302370,241464
400x200,143077,506717,235503
400x200,140097,319712,236217
400x200,218558,302138,238389
400x200,156141,304577,240369
400x200,161856,305711,228908
400x200,158654,318541,237940
400x200,245125,304560,243354
400x200,169934,320197,235971
400x200,168189,305515,236977
400x200,149005,302340,239816
400x200,147967,318487,275803
400x200,139803,301897,263502
400x200,145174,303520,262931
400x200,143137,317655,235684
400x200,156030,303758,337227
400x200,154081,305838,228243
400x200,157038,318677,227008
512x256,246642,664294,400830
512x256,255181,528519,393210
512x256,388460,528201,379837
512x256,260946,532956,666396
512x256,255145,506201,386576
512x256,234907,502180,566226
512x256,236318,503988,375288
512x256,236903,505156,572467
512x256,237211,524576,370845
512x256,235823,900055,370539
512x256,238823,509202,370850
512x256,239777,505059,373690
512x256,236842,526387,373787
512x256,286287,498755,667708
512x256,281322,501959,482496
512x256,283112,529222,369589
512x256,252988,530375,400703
512x256,236292,526894,369096
512x256,253624,534600,369385
512x256,423693,794390,376447
512x256,277417,792022,373569
512x256,240466,679260,406696
512x256,240684,497456,374330
512x256,241087,499874,370034
512x256,268556,501339,376005
512x256,312904,498404,475571
512x256,251683,504534,414829
512x256,434191,548754,537643
